40208892,Brandon Pratt,brandon_pratt@live.concordia.ca,rwqza26o
40208893,James Mcbride,james_mcbride@live.concordia.ca,lk2ctlq4
40208894,Brianna Morgan,brianna_morgan@live.concordia.ca,0r1dajxp
40208895,James Thomas,james_thomas@live.concordia.ca,xj7i9jrk
40208896,Trevor Harris,trevor_harris@live.concordia.ca,l9ki1s6c
40208897,Amy Mann,amy_mann@live.concordia.ca,34rcbcpi
40208898,Lori Hicks,lori_hicks@live.concordia.ca,0ojz6a5i
40208899,Wesley Welch,wesley_welch@live.concordia.ca,6e44s4f1
40208900,Nicole Martinez,nicole_martinez@live.concordia.ca,foscun0w
40208901,Lee Morgan,lee_morgan@live.concordia.ca,v5ee10vu
40208902,Leah Castillo,leah_castillo@live.concordia.ca,9hoyqey7
40208903,Jonathan Guzman,jonathan_guzman@live.concordia.ca,ocmt0mef
40208904,William Bender,william_bender@live.concordia.ca,3leehlu8
40208905,Hayley Cooper,hayley_cooper@live.concordia.ca,dlaqio6h
40208906,Patricia Davis,patricia_davis@live.concordia.ca,1qt4v7sm
40208907,Deanna Shepard,deanna_shepard@live.concordia.ca,eghgvu0n
40208908,Derek Hernandez,derek_hernandez@live.concordia.ca,plq9nunj
40208909,Leah Barton,leah_barton@live.concordia.ca,vvbjz0r3
40208910,Grant Klein,grant_klein@live.concordia.ca,7jfrr0xm
40208911,Jessica Mitchell,jessica_mitchell@live.concordia.ca,qub39dig
